"","Region.x","Population","Area..sq..mi..","Pop..Density..per.sq..mi..","Coastline..coast.area.ratio.","Net.migration","Infant.mortality..per.1000.births.","GDP....per.capita.","Literacy....","Phones..per.1000.","Arable....","Crops....","Other....","Climate","Birthrate","Deathrate","Agriculture","Industry","Service","country.x","country.y","unemployment_percentage","CPI.Rank","Country.Code","Region.y","Corruption.Perceptions.Index..CPI.","Standard.Error","Lower.Confidence.Interval.x","Upper.Confidence.Interval.x","World.Bank.CPIA","World.Economic.Forum.EOS","Global.Insight.Country.Risk.Ratings","Bertelsmann.Foundation.Transformation.Index","African.Development.Bank.CPIA","IMD.World.Competitiveness.Yearbook","Bertelsmann.Foundation.Sustainable.Governance.Index","World.Justice.Project.Rule.of.Law.Index","PRS.International.Country.Risk.Guide","Varities.of.Democracy.Project","Economist.Intelligence.Unit.Country.Ratings","Freedom.House.Nations.in.Transit.Ratings","PERC.Asia.Risk.Guide","Sources","country.x1","Region","Happiness.Rank","Happiness.Score","Lower.Confidence.Interval.y","Upper.Confidence.Interval.y","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","country.y1"
"53","NEAR EAST                          ",784301,9250,"84,8","7,01","0,43","7,18",19200,"97,6","","7,79","4,44","87,77","3","12,56","7,68","0,037","0,198","0,765","Cyprus ","Cyprus",11.8,47,"CYP","Europe and Central Asia",55,5.94,46,65,NA,49,47,NA,NA,NA,42,NA,67,NA,72,NA,NA,5,"Cyprus","Western Europe",69,5.546,5.442,5.65,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,2.04497,"Cyprus"
"54","EASTERN EUROPE                     ",10235455,78866,"129,8","0,00","0,97","3,93",15700,"99,9","314,3","39,8","3,05","57,15","3","9,02","10,59","0,034","0,393","0,573","Czech Republic ",NA,NA,47,"CZE","Europe and Central Asia",55,2.24,51,59,NA,46,59,65,NA,47,52,62,50,NA,54,59,NA,9,"Czech Republic","Central and Eastern Europe",27,6.596,6.515,6.677,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,2.96211,"Czech Republic"
"55","WESTERN EUROPE                     ",5450661,43094,"126,5","16,97","2,48","4,56",31100,"100,0","614,6","54,02","0,19","45,79","3","11,13","10,36","0,018","0,246","0,735","Denmark ","Denmark",5.8,1,"DNK","Europe and Central Asia",90,2.46,86,94,NA,85,83,NA,NA,98,99,85,93,NA,90,NA,NA,7,"Denmark","Western Europe",1,7.526,7.46,7.592,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,"Denmark"
"56","SUB-SAHARAN AFRICA                 ",486530,23000,"21,2","1,37","0","104,13",1300,"67,9","22,8","0,04","0","99,96","1","39,53","19,31","0,179","0,225","0,596","Djibouti ","Djibouti",60,123,"DJI","Sub-Saharan Africa",30,8.23,17,44,24,NA,47,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,3,"Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","LATIN AMER. & CARIB    ",68910,754,"91,4","19,63","-13,87","14,15",5400,"94,0","304,8","6,67","20","73,33","2","15,27","6,73","0,177","0,328","0,495","Dominica ","Dominica",23,38,"DMA","Americas",59,0.85,58,60,58,NA,59,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,3,"Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","LATIN AMER. & CARIB    ",9183984,48730,"188,5","2,64","-3,22","32,38",6000,"84,7","97,4","22,65","10,33","67,02","2","23,22","5,73","0,112","0,306","0,582","Dominican Republic ","Dominican Republic",5.5,38,"DMA","Americas",59,0.85,58,60,58,NA,59,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,3,"Dominica","Latin America and Caribbean",89,5.155,5.037,5.273,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,"Dominican Republic"
"59","LATIN AMER. & CARIB    ",9183984,48730,"188,5","2,64","-3,22","32,38",6000,"84,7","97,4","22,65","10,33","67,02","2","23,22","5,73","0,112","0,306","0,582","Dominican Republic ","Dominican Republic",5.5,120,"DOM","Americas",31,1.89,28,34,NA,24,34,32,NA,NA,NA,27,32,NA,37,NA,NA,6,"Dominican Republic","Latin America and Caribbean",89,5.155,5.037,5.273,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,"Dominican Republic"
"60","LATIN AMER. & CARIB    ",9183984,48730,"188,5","2,64","-3,22","32,38",6000,"84,7","97,4","22,65","10,33","67,02","2","23,22","5,73","0,112","0,306","0,582","Dominican Republic ","Dominica",23,38,"DMA","Americas",59,0.85,58,60,58,NA,59,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,3,"Dominica","Latin America and Caribbean",89,5.155,5.037,5.273,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,"Dominican Republic"
"61","LATIN AMER. & CARIB    ",9183984,48730,"188,5","2,64","-3,22","32,38",6000,"84,7","97,4","22,65","10,33","67,02","2","23,22","5,73","0,112","0,306","0,582","Dominican Republic ","Dominica",23,120,"DOM","Americas",31,1.89,28,34,NA,24,34,32,NA,NA,NA,27,32,NA,37,NA,NA,6,"Dominican Republic","Latin America and Caribbean",89,5.155,5.037,5.273,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,"Dominican Republic"
"62","ASIA (EX. NEAR EAST)         ",1062777,15007,"70,8","4,70","0","47,41",500,"58,6","","4,71","0,67","94,62","2","26,99","6,24","0,085","0,231","0,684","East Timor ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
